Model,R2,RMSE
RAD = 24,0.2257239606230298,0.9201416072576875
RAD < 24,0.7052924180045896,0.24896374989505538
"Lasso, RAD = 24",0.21869739464221016,0.9284919053248936
"Lasso, RAD < 24",0.7417994986503114,0.21812321422325298
