Feature,Importance
cylinders,0.13714409536452044
displacement,0.4164081823558317
horsepower,0.1686704853167137
weight,0.14325549226023263
acceleration,0.02409592627887603
year,0.10426264949588467
origin_1,0.0015259231718826984
origin_2,0.0021790190133870128
origin_3,0.0024582267426711993
