Feature,Coefficient1,Coefficient2,Coefficient3
acceleration,0.0,0.0,0.0
cylinders,-0.12245965795450814,-0.0,0.0
displacement,-0.05348066731640469,-0.0,-0.0
horsepower,-0.0,-0.37118655177880094,-0.3926357650793148
weight,-0.40813837720123836,-0.16356194326321088,-0.0
year,0.19124619173494173,0.3096561294087562,0.28786873232032145
