Feature,Coefficient1,Coefficient2,Coefficient3
acceleration,-0.1714498195032184,0.1804494073190795,0.0037673132138963256
cylinders,-0.20798491571044325,0.06873821791545917,0.28203362607596677
displacement,-0.18747202436900384,-0.3000824920656133,-0.014613808563137182
horsepower,-0.02372695907638675,-0.23843167888050149,-0.34643635851615306
weight,-0.4097207180765826,-0.28107658427195026,-0.3266505249333208
year,0.3383615024635757,0.5796852742036999,0.490151588560743
