Model,R^2,RMSE
OLS-Private,0.7029050585861051,0.526855005313587
Lasso-Private,0.7029050585861051,0.526855005313587
OLS-Non-Private,0.4450551999939636,0.755343898864689
Lasso-Non-Private,0.4450551999939636,0.755343898864689
Lasso-Non-Private,0.3528751443474377,0.8156688423450246
RF-Combined,0.8185281829987525,0.42818009276665303
Lasso-Combined,0.7445686985545965,0.5079944133452666
